,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1/3/2000,2.433896883,-11.82381176,12.10762148,2.433896883,2.433896883,-2.82610988,-2.82610988,-2.82610988,-0.026052294,-0.026052294,-0.026052294,-2.800057586,-2.800057586,-2.800057586,0,0,0,-0.392212996
1,1/4/2000,2.432025968,-11.61160672,12.25536068,2.432025968,2.432025968,-2.812622318,-2.812622318,-2.812622318,-0.007096873,-0.007096873,-0.007096873,-2.805525445,-2.805525445,-2.805525445,0,0,0,-0.38059635
2,1/5/2000,2.430155052,-11.69623296,12.88099858,2.430155052,2.430155052,-2.825364666,-2.825364666,-2.825364666,-0.015174207,-0.015174207,-0.015174207,-2.810190459,-2.810190459,-2.810190459,0,0,0,-0.395209614
3,1/6/2000,2.428284136,-12.78644366,11.48225532,2.428284136,2.428284136,-2.864898497,-2.864898497,-2.864898497,-0.049494,-0.049494,-0.049494,-2.815404497,-2.815404497,-2.815404497,0,0,0,-0.436614361
4,1/7/2000,2.426413221,-11.44362119,12.47894538,2.426413221,2.426413221,-2.942667675,-2.942667675,-2.942667675,-0.120237969,-0.120237969,-0.120237969,-2.822429706,-2.822429706,-2.822429706,0,0,0,-0.516254454
5,1/10/2000,2.420800474,-12.46089581,11.10254483,2.420800474,2.420800474,-2.8908802,-2.8908802,-2.8908802,-0.026052294,-0.026052294,-0.026052294,-2.864827906,-2.864827906,-2.864827906,0,0,0,-0.470079726
6,1/11/2000,2.418929558,-12.37327994,11.91238836,2.418929558,2.418929558,-2.895696256,-2.895696256,-2.895696256,-0.007096873,-0.007096873,-0.007096873,-2.888599383,-2.888599383,-2.888599383,0,0,0,-0.476766697
7,1/12/2000,2.417058643,-12.87277565,11.8400997,2.417058643,2.417058643,-2.933063509,-2.933063509,-2.933063509,-0.015174207,-0.015174207,-0.015174207,-2.917889302,-2.917889302,-2.917889302,0,0,0,-0.516004866
8,1/13/2000,2.415187727,-12.90715863,11.05648919,2.415187727,2.415187727,-3.002236029,-3.002236029,-3.002236029,-0.049494,-0.049494,-0.049494,-2.952742028,-2.952742028,-2.952742028,0,0,0,-0.587048302
9,1/14/2000,2.413316811,-11.86746729,10.87070092,2.413316811,2.413316811,-3.113180036,-3.113180036,-3.113180036,-0.120237969,-0.120237969,-0.120237969,-2.992942067,-2.992942067,-2.992942067,0,0,0,-0.699863224
10,1/18/2000,2.405833149,-13.26300999,11.14153584,2.405833149,2.405833149,-3.201294566,-3.201294566,-3.201294566,-0.007096873,-0.007096873,-0.007096873,-3.194197693,-3.194197693,-3.194197693,0,0,0,-0.795461417
11,1/19/2000,2.403962233,-13.04889831,11.03104103,2.403962233,2.403962233,-3.264618214,-3.264618214,-3.264618214,-0.015174207,-0.015174207,-0.015174207,-3.249444007,-3.249444007,-3.249444007,0,0,0,-0.860655981
12,1/20/2000,2.402091317,-13.47079671,10.46351233,2.402091317,2.402091317,-3.353468789,-3.353468789,-3.353468789,-0.049494,-0.049494,-0.049494,-3.303974789,-3.303974789,-3.303974789,0,0,0,-0.951377472
13,1/21/2000,2.400220402,-13.79373089,9.80312362,2.400220402,2.400220402,-3.476476072,-3.476476072,-3.476476072,-0.120237969,-0.120237969,-0.120237969,-3.356238103,-3.356238103,-3.356238103,0,0,0,-1.07625567
14,1/24/2000,2.394607655,-13.32038797,10.90119558,2.394607655,2.394607655,-3.509452462,-3.509452462,-3.509452462,-0.026052294,-0.026052294,-0.026052294,-3.483400168,-3.483400168,-3.483400168,0,0,0,-1.114844807
15,1/25/2000,2.392736739,-11.99363073,10.18184335,2.392736739,2.392736739,-3.517818275,-3.517818275,-3.517818275,-0.007096873,-0.007096873,-0.007096873,-3.510721402,-3.510721402,-3.510721402,0,0,0,-1.125081535
16,1/26/2000,2.390865824,-13.44709694,10.44559419,2.390865824,2.390865824,-3.543320892,-3.543320892,-3.543320892,-0.015174207,-0.015174207,-0.015174207,-3.528146685,-3.528146685,-3.528146685,0,0,0,-1.152455069
17,1/27/2000,2.388994908,-12.80720666,10.50263122,2.388994908,2.388994908,-3.583979506,-3.583979506,-3.583979506,-0.049494,-0.049494,-0.049494,-3.534485505,-3.534485505,-3.534485505,0,0,0,-1.194984598
18,1/28/2000,2.387123992,-12.91573208,9.945527701,2.387123992,2.387123992,-3.648988443,-3.648988443,-3.648988443,-0.120237969,-0.120237969,-0.120237969,-3.528750474,-3.528750474,-3.528750474,0,0,0,-1.261864451
19,1/31/2000,2.381511245,-13.81107155,10.05146135,2.381511245,2.381511245,-3.45891485,-3.45891485,-3.45891485,-0.026052294,-0.026052294,-0.026052294,-3.432862556,-3.432862556,-3.432862556,0,0,0,-1.077403604
20,2/1/2000,2.37964033,-13.49054379,10.89883862,2.37964033,2.37964033,-3.381034734,-3.381034734,-3.381034734,-0.007096873,-0.007096873,-0.007096873,-3.373937861,-3.373937861,-3.373937861,0,0,0,-1.001394404
21,2/2/2000,2.377769414,-12.59794419,11.35792502,2.377769414,2.377769414,-3.317044868,-3.317044868,-3.317044868,-0.015174207,-0.015174207,-0.015174207,-3.30187066,-3.30187066,-3.30187066,0,0,0,-0.939275453
