ds,y,RSI
4/1/19,191.240005,66.4578
3/29/19,189.949997,63.1535
3/28/19,188.720001,61.4937
3/27/19,188.470001,61.1355
3/26/19,186.789993,69.6265
3/25/19,188.740005,69.4245
3/22/19,191.050003,81.5651
3/21/19,195.089996,76.4073
3/20/19,188.160004,71.25
3/19/19,186.529999,80.0606
3/18/19,188.020004,76.9789
3/15/19,186.119995,75.7207
3/14/19,183.729996,74.4647
3/13/19,181.710007,72.218
3/12/19,180.910004,68.8551
3/11/19,178.899994,60.154
3/8/19,172.910004,44.0181
3/7/19,172.5,58.711
3/6/19,174.520004,62.9743
3/5/19,175.529999,70.2641
3/4/19,175.850006,69.6415
3/1/19,174.970001,66.0313
2/28/19,173.149994,66.2324
2/27/19,174.869995,63.4526
2/26/19,174.330002,65.6433
2/25/19,174.229996,67.5319
2/22/19,172.970001,61.8715
2/21/19,171.059998,62.7105
2/20/19,172.029999,61.4045
2/19/19,170.929993,58.2081
2/15/19,170.419998,63.1021
2/14/19,170.800003,60.0815
2/13/19,170.179993,65.3326
2/12/19,170.889999,63.1041
2/11/19,169.429993,65.9124
2/8/19,170.410004,62.6703
2/7/19,170.210007,73.0163
2/6/19,173.495911,80.9525
2/5/19,173.436157,79.3451
2/4/19,170.518677,73.1319
2/1/19,165.808884,72.5176
1/31/19,165.729218,71.4062
1/30/19,164.544296,67.4156
1/29/19,154.01944,52.9521
1/28/19,155.632523,51.6837
1/25/19,157.086288,50.8805
1/24/19,152.047897,47.4028
1/23/19,153.26268,47.4912
1/22/19,152.64534,52.4637
1/18/19,156.150314,54.9616
1/17/19,155.194397,48.2476
1/16/19,154.278336,45.7785
1/15/19,152.416321,39.2323
1/14/19,149.359421,40.1323
1/11/19,151.639633,43.2586
1/10/19,153.143204,42.504
1/9/19,152.655289,40.226
1/8/19,150.106216,37.0149
1/7/19,147.298264,35.4638
1/4/19,147.626846,27.6931
1/3/19,141.582779,26.6446
1/2/19,157.245605,35.9514
12/31/18,157.066376,40.164
12/28/18,155.56282,38.3235
12/27/18,155.483154,35.4433
12/26/18,156.49881,20.2117
12/24/18,146.202972,19.8732
12/21/18,150.086304,25.5343
12/20/18,156.160263,28.5044
12/19/18,160.202927,34.1618
12/18/18,165.360809,32.8335
12/17/18,163.239899,32.9009
12/14/18,164.773315,36.305
12/13/18,170.219955,37.7817
12/12/18,168.377869,37.6438
12/11/18,167.909866,38.7251
12/10/18,168.875732,29.0271
12/7/18,167.770477,35.4674
12/6/18,173.973862,32.7302
12/4/18,175.935455,41.0556
12/3/18,184.030731,44.9893
11/30/18,177.817383,38.7104
11/29/18,178.783234,41.1106
11/28/18,180.167297,31.5536
11/27/18,173.495911,21.455
11/26/18,173.874283,23.0562
11/23/18,171.55423,23.4602
11/21/18,176.025055,26.2984
11/20/18,176.224197,23.9473
11/19/18,185.066284,31.7397
11/16/18,192.703537,32.1444
11/15/18,190.59259,28.691
11/14/18,186.002274,32.5891
11/13/18,191.409073,29.0131
11/12/18,193.34079,34.3353
11/9/18,203.596817,40.2395
11/8/18,207.599655,44.9439
11/7/18,208.326508,39.1482
11/6/18,202.194321,32.7094
11/5/18,200.031158,34.6484
11/2/18,205.87561,39.27
11/1/18,220.501633,50.168
10/31/18,217.167618,47.1531
10/30/18,211.65062,38.2784
10/29/18,210.598831,48.5808
10/26/18,214.627411,42.9233
10/25/18,218.100357,45.3965
10/24/18,213.426773,52.7925
10/23/18,221.00769,40.7684
10/22/18,218.943771,47.0815
10/19/18,217.614151,43.6506
10/18/18,214.349579,43.2679
10/17/18,219.479614,50.0608
10/16/18,220.432175,44.0617
10/15/18,215.67923,47.4569
10/12/18,220.392502,46.2192
10/11/18,212.791718,35.2801
10/10/18,214.686966,53.4093
10/9/18,225.115677,49.5259
10/8/18,222.039658,46.3645
10/5/18,222.555634,59.9538
10/4/18,226.227036,68.8626
10/3/18,230.275482,67.746
10/2/18,227.50705,63.189
10/1/18,225.50267,65.2637
9/28/18,223.994431,59.9169
9/27/18,223.210526,58.1367
9/26/18,218.715561,52.6322
9/25/18,220.471878,50.01
9/24/18,219.082687,43.4001
9/21/18,215.976913,51.7183
9/20/18,218.328583,50.5552
9/19/18,216.681412,46.8417
9/18/18,216.552414,45.3339
9/17/18,216.195206,53.7616
9/14/18,222.1091,62.3791
9/13/18,224.659256,58.6873
9/12/18,219.36055,62.1845
9/11/18,222.119049,48.7779
9/10/18,216.641724,56.4144
9/7/18,219.58876,58.9575
9/6/18,221.374847,73.4616
9/5/18,225.115677,85.3726
9/4/18,226.594162,84.9099
8/31/18,225.869812,83.3576
8/30/18,223.289917,80.2149
8/29/18,221.255753,76.4009
8/28/18,218.001129,74.7926
8/27/18,216.254745,71.9896
8/24/18,214.488495,71.1354
8/23/18,213.823685,68.0238
8/22/18,213.387085,67.1242
8/21/18,213.377167,76.6522
8/20/18,213.79393,81.6761
8/17/18,215.897522,76.7626
8/16/18,211.670471,74.5338
8/15/18,208.614273,70.7543
8/14/18,208.128067,74.4283
8/13/18,207.254883,70.8516
8/10/18,205.925232,70.3345
8/9/18,206.540436,70.2226
8/8/18,204.928696,68.583
8/7/18,204.790268,78.9896
8/6/18,206.728317,77.7638
8/3/18,205.660416,76.8713
8/2/18,205.067123,69.56
8/1/18,199.243088,67.4801
7/31/18,188.158646,48.0112
7/30/18,187.782913,53.2058
7/27/18,188.840912,65.5292
7/26/18,192.03476,64.6222
7/25/18,192.637924,60.8405
7/24/18,190.838303,59.2988
7/23/18,189.463867,54.6364
7/20/18,189.295776,58.3767
7/19/18,189.73085,52.858
7/18/18,188.26741,60.0201
7/17/18,189.305664,54.6484
7/16/18,188.771713,61.0894
7/13/18,189.187012,60.0356
7/12/18,188.890366,56.2816
7/11/18,185.77565,53.6794
7/10/18,188.217972,60.6506
7/9/18,188.445404,57.9604
7/6/18,185.864655,46.9546
7/5/18,183.32341,46.4599
7/3/18,181.859985,53.5697
7/2/18,185.083466,40.7687
6/29/18,183.036682,48.2116
6/28/18,183.422302,39.3804
6/27/18,182.097321,42.7599
6/26/18,182.364288,32.4001
6/25/18,180.129608,33.3968
6/22/18,182.848785,40.911
6/21/18,183.382751,44.6688
6/20/18,184.411102,40.7689
6/19/18,183.610168,35.2465
6/18/18,186.626022,43.515
6/15/18,186.724884,52.1554
6/14/18,188.662933,59.6978
6/13/18,188.564056,64.5029
6/12/18,190.126358,61.1552
6/11/18,189.088135,61.0434
6/8/18,189.552856,60.5174
6/7/18,191.293152,75.6963
6/6/18,191.807312,74.7162
6/5/18,191.144821,73.657
6/4/18,189.681396,70.8781
6/1/18,188.109222,61.5845
5/31/18,184.776947,59.0982
5/30/18,185.399887,61.4177
5/29/18,185.795425,61.0878
5/25/18,186.467804,63.6596
5/24/18,186.042618,65.7964
5/23/18,186.250259,60.4406
5/22/18,185.063721,68.521
5/21/18,185.528442,67.8036
5/18/18,184.223236,66.3111
5/17/18,184.895615,69.1981
5/16/18,186.072266,66.0262
5/15/18,184.351776,68.3568
5/14/18,186.042618,75.9335
5/11/18,186.477692,77.5997
5/10/18,187.189621,75.8617
5/9/18,184.549835,74.6584
5/8/18,183.259476,73.0748
5/7/18,182.382813,73.5788
