ds,y,RSI
4/1/19,119.019997,64.8536
3/29/19,117.940002,61.917
3/28/19,116.93,59.7501
3/27/19,116.769997,61.9402
3/26/19,117.910004,65.6493
3/25/19,117.660004,59.6339
3/22/19,117.050003,76.9401
3/21/19,120.220001,70.8064
3/20/19,117.519997,72.6825
3/19/19,117.650002,77.7735
3/18/19,117.57,73.1269
3/15/19,115.910004,70.7475
3/14/19,114.589996,68.3139
3/13/19,114.5,67.0495
3/12/19,113.620003,62.7783
3/11/19,112.830002,55.5312
3/8/19,110.510002,46.0833
3/7/19,110.389999,60.1653
3/6/19,111.75,63.8498
3/5/19,111.699997,66.8277
3/4/19,112.260002,73.0401
3/1/19,112.529999,72.6538
2/28/19,112.029999,70.1359
2/27/19,112.169998,69.0808
2/26/19,112.360001,67.8239
2/25/19,111.589996,70.8375
2/22/19,110.970001,66.2173
2/21/19,109.410004,54.1833
2/20/19,107.150002,60.0506
2/19/19,107.709999,59.7647
2/15/19,107.759789,60.432
2/14/19,106.445404,54.31
2/13/19,106.355782,60.5845
2/12/19,106.435448,55.269
2/11/19,104.802422,55.5666
2/8/19,105.220634,47.9605
2/7/19,104.822327,51.4414
2/6/19,105.579102,60.4574
2/5/19,106.764046,56.9396
2/4/19,105.290337,40.8743
2/1/19,102.342918,45.1779
1/31/19,103.985909,45.2965
1/30/19,105.927612,49.1007
1/29/19,102.502243,50.3064
1/28/19,104.633141,56.9913
1/25/19,106.714249,62.2808
1/24/19,105.748375,61.0182
1/23/19,106.25621,58.5887
1/22/19,105.230591,61.5268
1/18/19,107.251953,64.824
1/17/19,105.668724,57.7663
1/16/19,104.931862,58.8902
1/15/19,104.563438,49.5454
1/14/19,101.616028,47.1469
1/11/19,102.362839,51.837
1/10/19,103.159431,51.9451
1/9/19,103.826584,54.1128
1/8/19,102.362839,51.7931
1/7/19,101.625984,47.7329
1/4/19,101.496536,41.6691
1/3/19,96.985802,42.5484
1/2/19,100.689987,40.9246
12/31/18,101.138069,44.5063
12/28/18,99.963089,46.1786
12/27/18,100.749725,38.9821
12/26/18,100.132362,25.6396
12/24/18,93.729706,29.1413
12/21/18,97.812279,36.0279
12/20/18,101.078323,39.0106
12/19/18,103.249054,40.2787
12/18/18,103.527863,40.4761
12/17/18,102.452454,43.6731
12/14/18,105.579102,49.7201
12/13/18,108.984558,52.8015
12/12/18,108.616135,55.871
12/11/18,108.128212,53.8625
12/10/18,107.132462,43.1873
12/7/18,104.374245,50.7548
12/6/18,108.72567,44.4955
12/4/18,108.05851,61.2442
12/3/18,111.613327,65.0618
11/30/18,110.418434,60.2195
11/29/18,109.721413,59.4049
11/28/18,110.647461,53.7884
11/27/18,106.68438,49.6238
11/26/18,106.017235,45.5922
11/23/18,102.631691,37.641
11/21/18,102.671516,40.5521
11/20/18,101.277473,34.8433
11/19/18,104.175102,50.5456
11/16/18,107.829491,46.559
11/15/18,106.823784,38.7552
11/14/18,104.523613,48.1768
11/13/18,106.027191,46.0909
11/12/18,105.957787,52.5653
11/9/18,108.634735,58.1911
11/8/18,110.796135,62.1693
11/7/18,111.004333,55.3436
11/6/18,106.800529,47.9686
11/5/18,106.592323,43.8788
11/2/18,105.253845,44.2195
11/1/18,105.015892,45.8808
10/31/18,105.898293,40.1465
10/30/18,102.844597,33.1388
10/29/18,102.963562,45.018
10/26/18,106.047012,33.3323
10/25/18,107.37558,35.7688
10/24/18,101.446625,41.7023
10/23/18,107.177284,38.5453
10/22/18,108.694221,43.704
10/19/18,107.732506,41.9445
10/18/18,107.573868,45.8103
10/17/18,109.765007,51.589
10/16/18,110.052536,42.7922
10/15/18,106.681557,39.8987
10/12/18,108.634735,40.1891
