ds,y,RSI
12/31/18,64.065651,47.9102
12/28/18,63.06089,44.6517
12/27/18,62.87188,39.5463
12/26/18,62.752502,24.3456
12/24/18,60.245586,26.2294
12/21/18,61.071274,29.4401
12/20/18,61.827332,35.5792
12/19/18,63.727409,45.8359
12/18/18,64.582947,42.0531
12/17/18,64.135284,43.672
12/14/18,65.000763,38.4826
12/13/18,66.562622,53.0003
12/12/18,65.786667,50.3582
12/11/18,65.577751,52.3681
12/10/18,65.149986,45.7211
12/7/18,65.130096,51.7923
12/6/18,66.204491,51.4608
12/4/18,66.30397,64.9196
12/3/18,67.149551,64.2923
11/30/18,66.373604,61.0999
11/29/18,66.532768,59.9628
11/28/18,66.473083,56.8065
11/27/18,65.736931,51.8913
11/26/18,65.348953,56.0361
11/23/18,65.358894,58.1254
11/21/18,66.42334,69.0936
11/20/18,66.831215,68.7484
11/19/18,67.557426,75.4825
11/16/18,67.806129,72.7785
11/15/18,67.268936,70.6284
11/14/18,66.69194,76.0334
11/13/18,66.701889,82.1725
11/12/18,67.19664,87.1185
11/9/18,67.879387,87.593
11/8/18,67.998131,86.6577
11/7/18,67.444016,84.4694
11/6/18,65.316597,80.6396
11/5/18,63.80267,79.8064
11/2/18,63.644348,74.6597
11/1/18,58.014122,55.047
10/31/18,57.657902,63.1538
10/30/18,57.974541,58.7294
10/29/18,57.756851,61.7634
10/26/18,57.460003,56.5974
10/25/18,58.340652,59.4197
10/24/18,57.450108,62.5646
10/23/18,58.19223,61.1777
10/22/18,58.281284,67.2655
10/19/18,58.043804,64.2306
10/18/18,58.024014,70.9149
10/17/18,58.479179,65.0043
10/16/18,57.202736,58.3573
10/15/18,56.15387,53.6533
10/12/18,55.857021,47.4695
10/11/18,54.283722,47.3738
10/10/18,55.421638,69.9938
10/9/18,57.103783,63.2621
10/8/18,55.946075,51.4837
10/5/18,55.174267,53.4696
10/4/18,55.302902,51.2568
10/3/18,54.887318,51.5162
10/2/18,55.006054,48.5892
10/1/18,54.996162,68.977
9/28/18,56.242924,79.5842
9/27/18,56.737671,77.7213
9/26/18,56.668407,75.4247
9/25/18,56.302296,80.1571
9/24/18,56.094498,79.9413
9/21/18,56.846516,77.8257
9/20/18,55.837231,71.1563
9/19/18,54.847736,67.6539
9/18/18,54.491516,58.9091
9/17/18,53.996769,63.5027
9/14/18,54.174877,70.223
9/13/18,54.313408,73.0043
9/12/18,54.392567,74.7814
9/11/18,54.540989,71.938
9/10/18,54.392567,74.1758
9/7/18,54.283722,68.1836
9/6/18,53.640549,62.4633
9/5/18,53.224964,60.1972
9/4/18,52.967693,59.8527
8/31/18,52.888535,46.1539
8/30/18,52.54221,58.1883
8/29/18,52.690636,57.4315
8/28/18,52.492737,56.7266
8/27/18,52.413578,56.3361
8/24/18,52.195889,54.23
8/23/18,52.106831,53.5178
8/22/18,52.265152,65.6169
8/21/18,53.432755,78.0861
8/20/18,53.353596,74.9013
8/17/18,52.997379,67.9822
8/16/18,52.482841,68.6546
8/15/18,52.195889,60.8767
8/14/18,52.037567,53.7919
8/13/18,51.265762,49.6924
8/10/18,50.96891,49.1629
8/9/18,51.374603,48.1812
8/8/18,51.008492,52.7664
8/7/18,51.166813,56.822
8/6/18,51.166813,57.1381
8/3/18,51.324036,52.3671
8/2/18,50.783577,58.1974
8/1/18,51.02924,60.3126
7/31/18,51.481258,58.2648
