ds,y,RSI
12/31/18,45.666027,39.5994
12/28/18,45.368717,37.0021
12/27/18,45.120964,28.0977
12/26/18,45.180428,18.6064
12/24/18,43.208302,20.336
12/21/18,44.714649,23.8891
12/20/18,45.626385,21.8032
12/19/18,45.259705,25.0187
12/18/18,46.10207,27.0104
12/17/18,46.191265,19.4558
12/14/18,46.121891,20.3235
12/13/18,46.607487,24.5666
12/12/18,47.311111,25.6529
12/11/18,47.330929,29.804
12/10/18,48.361588,32.602
12/7/18,49.808472,36.4257
12/6/18,50.631016,34.399
12/4/18,51.314816,56.8121
12/3/18,53.752716,66.6409
11/30/18,53.792355,61.598
11/29/18,53.554512,60.7591
11/28/18,53.861725,54.0197
11/27/18,52.712147,49.6542
11/26/18,52.404934,46.0461
11/23/18,51.364368,42.3263
11/21/18,51.958977,47.6666
11/20/18,52.067989,51.5383
11/19/18,52.840981,50.8701
11/16/18,52.464394,48.3042
11/15/18,52.345474,38.2332
11/14/18,51.681492,51.1637
11/13/18,52.266193,45.8023
11/12/18,51.879692,50.717
11/9/18,52.563496,50.2935
11/8/18,52.682419,48.6609
11/7/18,52.672508,57.0467
11/6/18,52.643017,53.4357
11/5/18,52.751152,56.8984
11/2/18,52.702,61.5558
11/1/18,52.652847,56.3277
10/31/18,52.328434,53.481
10/30/18,51.797581,48.9502
10/29/18,51.345371,44.2272
10/26/18,50.381973,39.2097
10/25/18,50.98164,31.5045
10/24/18,49.339924,35.532
10/23/18,50.686718,30.7296
10/22/18,50.775196,45.0647
10/19/18,51.99419,45.1497
10/18/18,52.200638,55.4013
10/17/18,53.537601,49.6423
10/16/18,52.819965,47.1238
10/15/18,52.338268,38.2264
10/12/18,51.227406,33.0284
10/11/18,50.568752,34.8298
10/10/18,51.541985,45.316
10/9/18,52.623352,41.4713
10/8/18,52.760979,36.4445
10/5/18,52.289112,42.3348
10/4/18,52.603691,28.2796
10/3/18,51.758259,24.3445
10/2/18,51.247066,19.8715
10/1/18,51.365036,22.1367
9/28/18,51.669785,21.3296
9/27/18,51.925381,23.9681
9/26/18,52.259621,30.2462
9/25/18,53.311497,29.0294
9/24/18,53.340988,32.1877
9/21/18,54.058624,39.5447
9/20/18,54.609138,37.9319
9/19/18,54.284729,19.5913
9/18/18,53.576923,14.8223
9/17/18,53.390144,16.6769
9/14/18,53.803028,18.5112
9/13/18,54.068455,22.6988
9/12/18,54.992535,33.7653
9/11/18,56.408146,34.5697
9/10/18,56.48679,37.0675
9/7/18,56.427807,40.6743
9/6/18,56.94883,57.2065
9/5/18,57.951553,56.7268
9/4/18,57.804096,49.4117
8/31/18,57.489513,45.9707
8/30/18,57.469852,53.2091
8/29/18,57.961384,61.4868
8/28/18,58.069523,64.831
8/27/18,58.099014,60.4004
8/24/18,57.695957,61.0493
8/23/18,57.627144,63.0826
8/22/18,58.167824,63.8481
8/21/18,57.961384,63.4489
8/20/18,58.030197,61.638
8/17/18,57.863079,58.7325
8/16/18,57.666466,54.9447
8/15/18,57.007816,49.7878
8/14/18,57.08646,49.6751
8/13/18,56.634251,49.5732
8/10/18,57.066799,46.8629
8/9/18,57.450191,60.0348
8/8/18,57.764771,61.3797
8/7/18,57.403683,63.4737
8/6/18,57.472,61.0839
8/3/18,57.413445,57.4661
8/2/18,56.886444,49.504
8/1/18,56.261856,58.3282
7/31/18,55.910526,66.169
7/30/18,57.081631,68.9941
7/27/18,57.218262,66.3492
7/26/18,56.905964,67.3839
7/25/18,56.827888,65.3867
7/24/18,56.944996,64.8633
7/23/18,56.603424,55.0059
7/20/18,55.051708,52.6286
7/19/18,54.97364,54.1577
7/18/18,55.207859,54.1577
7/17/18,55.198105,59.2189
7/16/18,55.617748,52.1633
7/13/18,54.026997,45.0982
7/12/18,54.680862,58.465
7/11/18,54.719898,58.0748
7/10/18,55.256653,64.0287
7/9/18,55.403046,59.0478
7/6/18,54.544231,53.0641
7/5/18,53.909889,58.4155
7/3/18,54.222179,63.1287
7/2/18,54.963879,55.3004
6/29/18,54.105068,59.1604
6/28/18,52.338654,40.8445
6/27/18,51.997078,37.0386
6/26/18,52.143471,42.2467
6/25/18,52.660702,40.8866
6/22/18,52.641186,51.6524
6/21/18,53.060833,43.6121
6/20/18,53.168182,58.5455
6/19/18,53.753738,48.2687
6/18/18,53.753738,45.6246
6/15/18,53.656147,46.1238
6/14/18,53.421928,57.0867
6/13/18,53.83181,58.0418
6/12/18,54.046513,61.927
6/11/18,54.173382,64.2494
6/8/18,54.339291,62.2982
6/7/18,54.290493,65.2234
6/6/18,54.241699,55.9067
6/5/18,53.187702,54.7641
6/4/18,53.509758,56.937
6/1/18,53.373123,54.8781
5/31/18,52.689983,51.7164
5/30/18,52.924202,46.4053
5/29/18,51.675026,49.8124
5/25/18,53.578072,55.1865
5/24/18,53.353607,70.7702
5/23/18,54.827248,64.864
5/22/18,53.929405,61.5328
5/21/18,53.226742,56.4198
5/18/18,52.406963,57.292
5/17/18,52.914444,60.2881
5/16/18,53.714699,63.8968
5/15/18,53.431683,62.0571
5/14/18,53.168182,65.9795
5/11/18,53.138908,65.4745
5/10/18,53.334091,62.3441
5/9/18,52.465519,58.2025
5/8/18,51.909245,53.2328
5/7/18,51.392006,55.2579
5/4/18,51.148026,40.6204
5/3/18,50.298977,43.848
5/2/18,50.552715,49.8713
5/1/18,50.911106,44.2484
4/30/18,50.329929,50.8755
4/27/18,50.717384,48.4432
4/26/18,50.794868,54.6144
4/25/18,51.443855,50.1906
4/24/18,50.862675,54.6349
4/23/18,50.959541,51.6103
4/20/18,50.911106,46.6482
4/19/18,49.923107,32.3483
4/18/18,48.809181,33.9034
4/17/18,48.983536,34.8528
4/16/18,49.206326,31.1797
4/13/18,49.293495,38.982
4/12/18,51.046719,39.932
4/11/18,50.300869,40.8886
4/10/18,50.969227,44.9465
4/9/18,50.610832,41.0989
4/6/18,50.591461,41.9058
4/5/18,51.589146,45.6132
4/4/18,51.25013,26.9953
4/3/18,50.446167,29.4147
4/2/18,49.739063,32.2835
3/29/18,50.765816,29.3248
3/28/18,49.86499,20.2165
3/27/18,49.49691,24.0617
3/26/18,50.649582,19.0318
3/23/18,49.380672,21.1937
3/22/18,50.882046,26.4203
3/21/18,53.071152,30.0455
3/20/18,53.1777,33.9246
3/19/18,53.739502,34.5128
3/16/18,54.146328,40.9626
3/15/18,55.04715,38.9267
3/14/18,54.853424,46.0003
3/13/18,55.754253,49.9744
3/12/18,56.199818,49.078
3/9/18,56.403233,40.1492
3/8/18,54.940605,36.4446
3/7/18,54.824368,33.2713
3/6/18,55.279621,39.9988
3/5/18,55.78331,31.4253
3/2/18,55.608955,31.9271
3/1/18,55.512093,38.6419
2/28/18,56.577583,46.7609
2/27/18,57.352486,51.2055
2/26/18,58.088642,49.0252
2/23/18,57.31374,43.5078
2/22/18,56.965038,49.219
2/21/18,57.856174,49.0704
2/20/18,58.069271,49.0704
2/16/18,58.069271,47.8975
2/15/18,58.137077,48.6943
2/14/18,57.68182,36.136
2/13/18,56.18045,20.1533
2/12/18,54.727505,20.944
2/9/18,54.369114,18.8426
2/8/18,53.662014,21.6432
2/7/18,55.734879,18.0506
2/6/18,55.483032,17.746
2/5/18,56.335426,21.4211
2/2/18,62.06002,68.7511
2/1/18,63.454845,69.586
1/31/18,63.338612,68.7317
1/30/18,62.857162,71.6289
1/29/18,63.377125,78.1114
