ds,y,RSI
12/31/18,67.441261,32.687
12/28/18,67.421478,35.0288
12/27/18,68.183029,27.1654
12/26/18,67.886322,17.4209
12/24/18,64.790688,18.4009
12/21/18,67.372032,20.2918
12/20/18,67.876427,23.6504
12/19/18,70.002823,28.8518
12/18/18,71.209427,32.0209
12/17/18,73.227028,37.085
12/14/18,74.750122,42.5038
12/13/18,76.13475,38.6935
12/12/18,75.18528,46.8298
12/11/18,75.838043,45.0714
12/10/18,75.699577,45.7117
12/7/18,76.787498,52.0785
12/6/18,77.529259,45.9196
12/4/18,78.557846,63.8895
12/3/18,80.328194,59.0217
11/30/18,78.627075,49.3785
11/29/18,78.191902,47.9623
11/28/18,77.5886,40.2435
11/27/18,76.203979,36.8876
11/26/18,76.13475,34.5655
11/23/18,74.661102,33.2937
11/21/18,76.708374,38.1394
11/20/18,76.124855,42.0951
11/19/18,78.350151,42.2545
11/16/18,78.093002,41.8083
11/15/18,77.331459,33.0104
11/14/18,76.540245,40.0267
11/13/18,77.143547,43.6072
11/12/18,78.953453,51.8702
11/9/18,79.982033,44.7823
11/8/18,80.001808,61.4894
11/7/18,81.29422,56.8445
11/6/18,80.275955,54.3108
11/5/18,79.933273,59.3849
11/2/18,80.236794,55.7631
11/1/18,78.983551,44.0523
10/31/18,78.014252,40.4502
10/30/18,77.133064,25.2448
10/29/18,75.439232,26.8597
10/26/18,75.909195,24.939
10/25/18,76.67289,26.9106
10/24/18,75.997322,33.1496
10/23/18,78.170906,32.5488
10/22/18,79.453514,41.9519
10/19/18,80.256378,39.1805
10/18/18,80.138885,35.4266
10/17/18,79.796204,33.3334
10/16/18,79.502464,29.9538
10/15/18,79.130417,33.0001
10/12/18,79.678703,35.827
10/11/18,79.894112,44.017
10/10/18,82.753059,64.4589
10/9/18,84.701462,62.4922
10/8/18,84.329407,51.5253
10/5/18,83.555916,56.3773
10/4/18,83.790909,58.1789
10/3/18,84.348991,68.6787
10/2/18,84.652504,64.6414
10/1/18,84.016098,61.8352
9/28/18,83.242615,61.2197
9/27/18,83.976929,69.6633
9/26/18,83.986725,69.3673
9/25/18,84.691673,80.3431
9/24/18,84.789581,76.1794
9/21/18,83.389481,72.9372
9/20/18,83.046791,72.2843
9/19/18,82.860764,66.34
9/18/18,81.881668,69.1861
9/17/18,81.666275,64.4323
9/14/18,81.186516,60.9369
9/13/18,80.599052,68.5701
9/12/18,81.392128,69.6457
9/11/18,81.127769,62.887
9/10/18,80.001808,65.703
9/7/18,80.119308,50.674
9/6/18,78.777939,61.9114
9/5/18,79.659126,49.1096
9/4/18,78.611496,56.2859
8/31/18,78.494003,54.2816
8/30/18,78.826897,57.1972
8/29/18,79.169586,57.0984
8/28/18,78.6017,58.808
